Feature,Importance
V17,11.248485496742859
V14,10.673563100581703
V12,8.308694308130185
V7,8.000829356396798
V1,7.561819503159236
V5,5.707075857196598
V3,4.740214562120757
V10,4.705277403875464
V16,4.366362732503301
V2,4.324701577861438
Amount,3.721119176401393
V11,2.2672710554988535
V4,2.1150246114565974
V8,2.110660665695255
V18,1.6931857936485932
V6,1.51736620961834
V20,1.4378618482969847
V9,1.3786375459276943
V23,1.3374263698922026
V22,0.9934720015996386
V19,0.7803160885771366
V28,0.762333124050457
V13,0.38540826925911054
Time,0.3682392857072227
V15,0.2985542955825367
V21,0.2347992789305706
V26,0.20452850005281217
V25,0.1422177236227041
V27,0.13155538672372702
V24,0.06319061016047915
